Date,Jour,Semaine,Bloc,Focus semaine,Type séance,Séance prévue,Durée prévue,RPE cible,Priorité,Fait ?,Durée réelle,RPE réel,Sommeil /10,Fatigue jambes /10,Douleur /10,Golf joué ?,Score ou ressenti golf,Notes / splits
2026-09-01,Mardi,10,Bloc 3 - Spécifique HYROX,"Enchaînements course + stations, pacing, simulations",Running seuil / intervalles,"Compromised run: 5 tours de 1 km course allure Hyrox cible + 20 wall balls 6 kg cible 3 m + 12 burpees broad jumps propres. Récup 90s entre tours. Technique course: relance souple après station, ne pas exploser le 1er km.",65-75 min,8,A,,,,,,,,,Noter split run après station
2026-09-02,Mercredi,10,Bloc 3 - Spécifique HYROX,"Enchaînements course + stations, pacing, simulations",Golf / récup active,"9 trous ou practice technique golf 60-90 min + mobilité hanches/rachis thoracique 15 min + respiration 5 min. Technique golf: routine complète, équilibre finish, pas de séance physique cachée.",60-120 min,3-4,C,,,,,,,,,"Récup active, priorité fraîcheur"
2026-09-03,Jeudi,10,Bloc 3 - Spécifique HYROX,"Enchaînements course + stations, pacing, simulations",Force haut + stations,Tractions strictes 4x6-8 ou tirage vertical 4x8 @80 kg + développé couché 4x6 @105 kg + rowing barre 4x8 @80 kg + sled push 6x15 m total 155 kg + sled pull 6x15 m total 105 kg + farmer carry 4x40 m 2x24 kg. Technique: push hanches basses/pas courts; pull buste gainé/bras longs; farmer épaules basses.,60-70 min,7-8,A,,,,,,,,,"Stations lourdes, qualité avant vitesse"
2026-09-04,Vendredi,10,Bloc 3 - Spécifique HYROX,"Enchaînements course + stations, pacing, simulations",Zone 2,"Course Zone 2 70 min, allure conversationnelle, FC basse. Fin: 6x20s lignes droites si jambes OK + mobilité mollets/ischios 10 min. Technique: cadence stable, appuis silencieux, ne jamais dériver en seuil.",80 min,4-5,A,,,,,,,,,Séance clé moteur aérobie
2026-09-05,Samedi,10,Bloc 3 - Spécifique HYROX,"Enchaînements course + stations, pacing, simulations",HYROX spécifique,"Simulation Hyrox 6 stations: 1 km run + SkiErg 1000 m + 1 km run + sled push 50 m total 155 kg + 1 km run + sled pull 50 m total 105 kg + 1 km run + burpee broad jump 80 m + 1 km run + row 1000 m + 1 km run + farmer carry 200 m 2x24 kg. Technique: course à allure cible, stations propres, transitions <45s.",85-105 min,8-9,A,,,,,,,,,Simulation partielle lourde
2026-09-06,Dimanche,10,Bloc 3 - Spécifique HYROX,"Enchaînements course + stations, pacing, simulations",Golf long / repos,"18 trous si prévu, sinon repos complet + marche 30 min. Après: mobilité 12 min mollets/quads/hanches + auto-évaluation fatigue jambes. Si fatigue jambes >7/10: repos prioritaire.",0-240 min,2-4,B,,,,,,,,,Ne pas compenser par un WOD
2026-09-07,Lundi,11,Bloc 3 - Spécifique HYROX,"Enchaînements course + stations, pacing, simulations",Force jambes,"Back squat 5x5 @115 kg + Romanian deadlift 4x6 @100 kg + Bulgarian split squat 3x8/jambe avec 2x22.5 kg + step-up box 50 cm 3x12/jambe avec 2x16 kg + finisher endurance: 3x30 walking lunges sandbag 20 kg, récup 90s. Technique: genou suit 2e orteil, gainage, respiration contrôlée.",60-70 min,7-8,A,,,,,,,,,Priorité jambes: lourd mais jamais à l'échec
2026-09-08,Mardi,11,Bloc 3 - Spécifique HYROX,"Enchaînements course + stations, pacing, simulations",Running seuil / intervalles,"Compromised run: 5 tours de 1 km course allure Hyrox cible + 20 wall balls 6 kg cible 3 m + 12 burpees broad jumps propres. Récup 90s entre tours. Technique course: relance souple après station, ne pas exploser le 1er km.",65-75 min,8,A,,,,,,,,,Noter split run après station
2026-09-09,Mercredi,11,Bloc 3 - Spécifique HYROX,"Enchaînements course + stations, pacing, simulations",Golf / récup active,"9 trous ou practice technique golf 60-90 min + mobilité hanches/rachis thoracique 15 min + respiration 5 min. Technique golf: routine complète, équilibre finish, pas de séance physique cachée.",60-120 min,3-4,C,,,,,,,,,"Récup active, priorité fraîcheur"
2026-09-10,Jeudi,11,Bloc 3 - Spécifique HYROX,"Enchaînements course + stations, pacing, simulations",Force haut + stations,Tractions strictes 4x6-8 ou tirage vertical 4x8 @80 kg + développé couché 4x6 @107.5 kg + rowing barre 4x8 @80 kg + sled push 6x15 m total 160 kg + sled pull 6x15 m total 110 kg + farmer carry 4x40 m 2x24 kg. Technique: push hanches basses/pas courts; pull buste gainé/bras longs; farmer épaules basses.,60-70 min,7-8,A,,,,,,,,,"Stations lourdes, qualité avant vitesse"
2026-09-11,Vendredi,11,Bloc 3 - Spécifique HYROX,"Enchaînements course + stations, pacing, simulations",Zone 2,"Course Zone 2 75 min, allure conversationnelle, FC basse. Fin: 6x20s lignes droites si jambes OK + mobilité mollets/ischios 10 min. Technique: cadence stable, appuis silencieux, ne jamais dériver en seuil.",85 min,4-5,A,,,,,,,,,Séance clé moteur aérobie
2026-09-12,Samedi,11,Bloc 3 - Spécifique HYROX,"Enchaînements course + stations, pacing, simulations",HYROX spécifique,"Simulation Hyrox 6 stations: 1 km run + SkiErg 1000 m + 1 km run + sled push 50 m total 160 kg + 1 km run + sled pull 50 m total 110 kg + 1 km run + burpee broad jump 80 m + 1 km run + row 1000 m + 1 km run + farmer carry 200 m 2x24 kg. Technique: course à allure cible, stations propres, transitions <45s.",85-105 min,8-9,A,,,,,,,,,Simulation partielle lourde
2026-09-13,Dimanche,11,Bloc 3 - Spécifique HYROX,"Enchaînements course + stations, pacing, simulations",Golf long / repos,"18 trous si prévu, sinon repos complet + marche 30 min. Après: mobilité 12 min mollets/quads/hanches + auto-évaluation fatigue jambes. Si fatigue jambes >7/10: repos prioritaire.",0-240 min,2-4,B,,,,,,,,,Ne pas compenser par un WOD
2026-09-14,Lundi,12,Bloc 3 - Spécifique HYROX,"Enchaînements course + stations, pacing, simulations",Force jambes,"Back squat 3x5 @102.5 kg tempo 3s descente + Romanian deadlift 3x6 @82.5 kg + Bulgarian split squat 2x8/jambe avec 2x20 kg + Leg press 2x25 RPE7 + walking lunges 2x30 pas à vide. Technique: genoux alignés, pied entier au sol, buste gainé, pas d'échec.",50-60 min,6-7,A,,,,,,,,,Décharge/test technique: garder 3 reps en réserve
2026-09-15,Mardi,12,Bloc 3 - Spécifique HYROX,"Enchaînements course + stations, pacing, simulations",Running seuil / intervalles,"Compromised run: 5 tours de 1 km course allure Hyrox cible + 20 wall balls 6 kg cible 3 m + 12 burpees broad jumps propres. Récup 90s entre tours. Technique course: relance souple après station, ne pas exploser le 1er km.",65-75 min,8,A,,,,,,,,,Noter split run après station
2026-09-16,Mercredi,12,Bloc 3 - Spécifique HYROX,"Enchaînements course + stations, pacing, simulations",Golf / récup active,"9 trous ou practice technique golf 60-90 min + mobilité hanches/rachis thoracique 15 min + respiration 5 min. Technique golf: routine complète, équilibre finish, pas de séance physique cachée.",60-120 min,3-4,C,,,,,,,,,"Récup active, priorité fraîcheur"
2026-09-17,Jeudi,12,Bloc 3 - Spécifique HYROX,"Enchaînements course + stations, pacing, simulations",Force haut + stations,"Tractions/row inversé 4x6-8 + développé couché 3x6 @95 kg + rowing haltère 3x10/bras 32 kg + sled push technique 6x15 m total 145 kg + sled pull technique 6x15 m total 95 kg + farmer carry 4x40 m 2x24 kg. Technique: puissance propre, récup complète 90-120s.",50-60 min,6-7,A,,,,,,,,,Semaine allégée: priorité technique sled
2026-09-18,Vendredi,12,Bloc 3 - Spécifique HYROX,"Enchaînements course + stations, pacing, simulations",Zone 2,"Course Zone 2 55 min, allure conversationnelle, FC basse. Fin: 6x20s lignes droites si jambes OK + mobilité mollets/ischios 10 min. Technique: cadence stable, appuis silencieux, ne jamais dériver en seuil.",65 min,4-5,A,,,,,,,,,Séance clé moteur aérobie
2026-09-19,Samedi,12,Bloc 3 - Spécifique HYROX,"Enchaînements course + stations, pacing, simulations",HYROX spécifique,Simulation complète allégée 75%: 8x800 m run + Ski 1000 m + sled push 50 m 145 kg + sled pull 50 m 95 kg + burpee broad jump 60 m + row 1000 m + farmer 160 m 2x24 kg + lunges 80 m sandbag 20 kg + 75 wall balls 6 kg. Chrono continu.,90-110 min,8,A,,,,,,,,,Dernier gros spécifique
2026-09-20,Dimanche,12,Bloc 3 - Spécifique HYROX,"Enchaînements course + stations, pacing, simulations",Golf long / repos,"18 trous si prévu, sinon repos complet + marche 30 min. Après: mobilité 12 min mollets/quads/hanches + auto-évaluation fatigue jambes. Si fatigue jambes >7/10: repos prioritaire.",0-240 min,2-4,B,,,,,,,,,Ne pas compenser par un WOD
2026-09-21,Lundi,13,Bloc 4 - Taper / affûtage,"Réduire volume, garder intensité, fraîcheur",Force jambes,"Activation jambes: back squat 3x3 @87.5 kg vitesse max + Romanian deadlift 2x5 @75 kg + walking lunges 2x20 pas avec sandbag 20 kg + mollets 2x20. Technique: amplitude propre, aucune brûlure longue.",35-45 min,5-6,A,,,,,,,,,"Taper: sortir frais, pas de courbatures"
2026-09-22,Mardi,13,Bloc 4 - Taper / affûtage,"Réduire volume, garder intensité, fraîcheur",Running seuil / intervalles,"Échauffement 12 min + 4x1 km allure Hyrox cible, récup 2 min + 4x60 m. Technique: économie, respiration nasale/contrôlée sur les récupérations.",40-50 min,6-7,A,,,,,,,,,Taper: vitesse sans fatigue
2026-09-23,Mercredi,13,Bloc 4 - Taper / affûtage,"Réduire volume, garder intensité, fraîcheur",Golf / récup active,"9 trous ou practice technique golf 60-90 min + mobilité hanches/rachis thoracique 15 min + respiration 5 min. Technique golf: routine complète, équilibre finish, pas de séance physique cachée.",60-120 min,3-4,C,,,,,,,,,"Récup active, priorité fraîcheur"
2026-09-24,Jeudi,13,Bloc 4 - Taper / affûtage,"Réduire volume, garder intensité, fraîcheur",Force haut + stations,"Tractions strictes 3x5 lest léger ou PDC + bench press 3x4 @80 kg + rowing barre 3x8 @70 kg + sled push technique 4x15 m total 130 kg + sled pull technique 4x15 m total 85 kg + farmer carry 3x40 m 2x24 kg. Technique: sled hanches basses, bras verrouillés; pull corde à la hanche, pas courts.",40-50 min,5-6,A,,,,,,,,,"Activation haut + stations, zéro échec"
2026-09-25,Vendredi,13,Bloc 4 - Taper / affûtage,"Réduire volume, garder intensité, fraîcheur",Zone 2,"Course Zone 2 40 min, allure conversationnelle, FC basse. Fin: 6x20s lignes droites si jambes OK + mobilité mollets/ischios 10 min. Technique: cadence stable, appuis silencieux, ne jamais dériver en seuil.",50 min,4-5,A,,,,,,,,,Séance clé moteur aérobie
2026-09-26,Samedi,13,Bloc 4 - Taper / affûtage,"Réduire volume, garder intensité, fraîcheur",HYROX spécifique,"Primer Hyrox: 3 tours faciles: 800 m run + 250 m SkiErg + 10 wall balls 6 kg + farmer carry 40 m 2x24 kg. Récup complète. Technique: sensations de vitesse, zéro lactate.",35-45 min,5-6,A,,,,,,,,,Affûtage
2026-09-27,Dimanche,13,Bloc 4 - Taper / affûtage,"Réduire volume, garder intensité, fraîcheur",Golf long / repos,"18 trous si prévu, sinon repos complet + marche 30 min. Après: mobilité 12 min mollets/quads/hanches + auto-évaluation fatigue jambes. Si fatigue jambes >7/10: repos prioritaire.",0-240 min,2-4,B,,,,,,,,,Ne pas compenser par un WOD
2026-09-28,Lundi,14,Bloc 4 - Taper / affûtage,"Réduire volume, garder intensité, fraîcheur",Force jambes,"Activation jambes: back squat 3x3 @72.5 kg vitesse max + Romanian deadlift 2x5 @75 kg + walking lunges 2x20 pas avec sandbag 20 kg + mollets 2x20. Technique: amplitude propre, aucune brûlure longue.",35-45 min,5-6,A,,,,,,,,,"Taper: sortir frais, pas de courbatures"
2026-09-29,Mardi,14,Bloc 4 - Taper / affûtage,"Réduire volume, garder intensité, fraîcheur",Running seuil / intervalles,"Footing 20 min + 3x2 min allure Hyrox, récup 2 min facile + mobilité hanches/chevilles 10 min. Technique: relâché, aucune dette lactique.",30-40 min,4-5,A,,,,,,,,,Activation semaine course
2026-09-30,Mercredi,14,Bloc 4 - Taper / affûtage,"Réduire volume, garder intensité, fraîcheur",Golf / récup active,"9 trous ou practice technique golf 60-90 min + mobilité hanches/rachis thoracique 15 min + respiration 5 min. Technique golf: routine complète, équilibre finish, pas de séance physique cachée.",60-120 min,3-4,C,,,,,,,,,"Récup active, priorité fraîcheur"
2026-10-01,Jeudi,14,Bloc 4 - Taper / affûtage,"Réduire volume, garder intensité, fraîcheur",Force haut + stations,"Tractions strictes 3x5 lest léger ou PDC + bench press 3x4 @67.5 kg + rowing barre 3x8 @70 kg + sled push technique 4x15 m total 80 kg + sled pull technique 4x15 m total 60 kg + farmer carry 3x40 m 2x24 kg. Technique: sled hanches basses, bras verrouillés; pull corde à la hanche, pas courts.",40-50 min,5-6,A,,,,,,,,,"Activation haut + stations, zéro échec"
2026-10-02,Vendredi,14,Bloc 4 - Taper / affûtage,"Réduire volume, garder intensité, fraîcheur",Zone 2,"Course Zone 2 25 min, allure conversationnelle, FC basse. Fin: 6x20s lignes droites si jambes OK + mobilité mollets/ischios 10 min. Technique: cadence stable, appuis silencieux, ne jamais dériver en seuil.",35 min,4-5,A,,,,,,,,,Séance clé moteur aérobie
2026-10-03,Samedi,14,Bloc 4 - Taper / affûtage,"Réduire volume, garder intensité, fraîcheur",RACE,"HYROX Bordeaux Solo Open: échauffement 20 min (footing 8 min + mobilité + 3 accélérations + 5 wall balls). Race plan: Run 1-2 contrôlés, sled sans arrêt long, burpees réguliers, relance progressive après row/farmer, wall balls en séries prévues 20/20/15/15/10/10/10.",90-120 min,9-10,A,,,,,,,,,Renseigner chrono total + splits 1 km + stations
2026-10-04,Dimanche,14,Bloc 4 - Taper / affûtage,"Réduire volume, garder intensité, fraîcheur",Golf long / repos,"18 trous si prévu, sinon repos complet + marche 30 min. Après: mobilité 12 min mollets/quads/hanches + auto-évaluation fatigue jambes. Si fatigue jambes >7/10: repos prioritaire.",0-240 min,2-4,B,,,,,,,,,Ne pas compenser par un WOD
